team,played,score,opp_score,shots,opp_shots,goalsPerGame,oppGoalsPerGame,shotsPerGame,oppShotsPerGame
Tottenham,32,68,22,204,90,2.12,0.69,6.38,2.81
Liverpool,33,69,40,198,103,2.09,1.21,6.0,3.12
Chelsea,32,65,27,163,88,2.03,0.84,5.09,2.75
Arsenal,31,63,40,155,133,2.03,1.29,5.0,4.29
Man City,32,63,35,171,88,1.97,1.09,5.34,2.75
Everton,33,60,37,173,125,1.82,1.12,5.24,3.79
Man United,31,48,24,188,86,1.55,0.77,6.06,2.77
Crystal Palace,32,44,52,122,155,1.38,1.62,3.81,4.84
Bournemouth,33,45,63,131,171,1.36,1.91,3.97,5.18
West Ham,33,44,59,119,160,1.33,1.79,3.61,4.85
Leicester,32,41,53,122,154,1.28,1.66,3.81,4.81
Southampton,31,37,40,154,101,1.19,1.29,4.97,3.26
West Brom,33,39,42,107,140,1.18,1.27,3.24,4.24
Watford,32,37,52,125,149,1.16,1.62,3.91,4.66
Stoke,33,37,48,120,157,1.12,1.45,3.64,4.76
Swansea,33,37,68,127,165,1.12,2.06,3.85,5.0
Hull,33,34,67,113,188,1.03,2.03,3.42,5.7
Burnley,33,33,47,109,187,1.0,1.42,3.3,5.67
Sunderland,32,26,58,98,209,0.81,1.81,3.06,6.53
Middlesbrough,32,23,39,83,133,0.72,1.22,2.59,4.16
